Transaction Hash,Status,Type,Method ,Block,Age,From,From_NameTag,To,To_NameTag,Amount,Value (USD),Asset,Txn Fee,
0x7019a9a3a802c541b1a68a7c36d03dffba7f317075c99b891bfbf485cf74dffe,Success,ERC-20,Transfer,Transfer,22638308,21 mins ago,0xbf801f7e8626564ec6dd0e5da4fbda58bc332e9c,Team Controlled Distribution Wallet,0x5ea07defd3194715d35d17de68f3955c4f115c14,Liquidation Wallet,"27,806.47","$1,424.80",Ultra Token(UOS),0.0000624
0xf6af0e9e6d35823facda01b9a9cc74cced6b8ba1df94c521fff028651ad25f17,Success,ERC-20,Transfer,Transfer,22638308,21 mins ago,0xbf801f7e8626564ec6dd0e5da4fbda58bc332e9c,Team Controlled Distribution Wallet,0xf021a7672f094ee19c9902906f1d3a207a63586d,Liq Wallet - Stepping up Activity,"29,188.61","$1,495.62",Ultra Token(UOS),0.00009142
0x2b3fdc23474ed3d9f0714f62002ebbe9fb57ca4293c24ec13d2eb50374ffd784,Success,ERC-20,Transfer,Transfer,22634052,14 hrs ago,0xbf801f7e8626564ec6dd0e5da4fbda58bc332e9c,Team Controlled Distribution Wallet,0xf29f568f971c043df7079a3121e9de616b8998a3,UOS Liquidation Wallet #5,"26,769.57","$1,371.67",Ultra Token(UOS),0.00011371
0xdcbadc8d2ee20305ea29fed1c2337dd73f71b00ca0d1dcd30ea719ee4e3d3287,Success,ERC-20,Transfer,Transfer,22632385,20 hrs ago,0xbf801f7e8626564ec6dd0e5da4fbda58bc332e9c,Team Controlled Distribution Wallet,0x07455a683a99fcfffca28140d0c7c39961e26e51,Liquidation Wallet,"140,877.39","$7,218.56",Ultra Token(UOS),0.00027386
0x9c2185a3e61957bf9f5d9035bc8bb1b57222e8a6da217eba9b3325163e3acc8a,Success,ERC-20,Transfer,Transfer,22632384,20 hrs ago,0xbf801f7e8626564ec6dd0e5da4fbda58bc332e9c,Team Controlled Distribution Wallet,0x1b02039f86323a42d68fe7c00919dd1666481612,UOS Liquidation Wallet #2,"110,054.98","$5,639.22",Ultra Token(UOS),0.0002784
0x26adb201aefafcb6ca9ede8042ff203aea5e0b70b44ed148e31769abc567c1e0,Success,ERC-20,Transfer,Transfer,22632384,20 hrs ago,0xbf801f7e8626564ec6dd0e5da4fbda58bc332e9c,Team Controlled Distribution Wallet,0xf021a7672f094ee19c9902906f1d3a207a63586d,Liq Wallet - Stepping up Activity,"60,504.48","$3,100.25",Ultra Token(UOS),0.0002784
0x5012e8390eb43542dc6e309b2dd28f68b760fc423c7f52254b2d0aca5b8a46df,Success,ERC-20,Transfer,Transfer,22632384,20 hrs ago,0xbf801f7e8626564ec6dd0e5da4fbda58bc332e9c,Team Controlled Distribution Wallet,0xf21af870a20256def1dbc8c3982b6844d08e58a7,Liquidation Wallet,"35,000","$1,793.40",Ultra Token(UOS),0.0002784
0x773240e1bffda569aedaa920235c5ff808fab7e18c596c7d521220d519aaecda,Success,ERC-20,Transfer,Transfer,22605903,4 days ago,0xbf801f7e8626564ec6dd0e5da4fbda58bc332e9c,Team Controlled Distribution Wallet,0x1b02039f86323a42d68fe7c00919dd1666481612,UOS Liquidation Wallet #2,"49,994.35","$2,561.71",Ultra Token(UOS),0.00004864
0x81716f0d71355a1b613c8683e0060dedd6c24e8502289ebeaa9fdbe81cdeea8d,Success,ERC-20,Transfer,Transfer,22605903,4 days ago,0xbf801f7e8626564ec6dd0e5da4fbda58bc332e9c,Team Controlled Distribution Wallet,0x1274385E6754003CBa9BFeB15c94ee1E80d500Ec, ,"28,831","$1,477.30",Ultra Token(UOS),0.00003318
0xdea6df19a9c53585a27b285b3241dfec122daeb4e1aa52b84691b4ec32718998,Success,ERC-20,Transfer,Transfer,22605893,4 days ago,0xbf801f7e8626564ec6dd0e5da4fbda58bc332e9c,Team Controlled Distribution Wallet,0x1b02039f86323a42d68fe7c00919dd1666481612,UOS Liquidation Wallet #2,"49,993.51","$2,561.67",Ultra Token(UOS),0.00005425
0xe4ed95074ac278692ed98c8d80ed026df6d2b8a54d2212537cd6147d04399882,Success,ERC-20,Transfer,Transfer,22601453,5 days ago,0xbf801f7e8626564ec6dd0e5da4fbda58bc332e9c,Team Controlled Distribution Wallet,0xd7b1428a12deeb7c0d69428ac08995ba3cb544c9,UOS Liquidation Wallet #1,"40,000","$2,049.60",Ultra Token(UOS),0.00004779
0x33b2059dc2a3cb0dd722f459ac5889583e7cfae826024bd121ca7165983612c6,Success,ERC-20,Transfer,Transfer,22601403,5 days ago,0xbf801f7e8626564ec6dd0e5da4fbda58bc332e9c,Team Controlled Distribution Wallet,0x1b02039f86323a42d68fe7c00919dd1666481612,UOS Liquidation Wallet #2,"99,993.56","$5,123.67",Ultra Token(UOS),0.0000446
