Transaction Hash,Status,Type,Method ,Block,Age,From,From_NameTag,To,To_NameTag,Amount,Value (USD),Asset,Txn Fee
0x093cfb1cea88889dcad4422cdf7e0bcb58ba02543d5dcf99687726a64e782688,Success,ERC-20,Transfer,22601418,5 days ago,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),0xbf801f7e8626564ec6dd0e5da4fbda58bc332e9c,Team Controlled Distribution Wallet,"3,000,000","$153,720.00",Ultra Token(UOS),0.00002998
0x4f0f610d79f7260cebba2ac8d1d1ce63a3cc24074cb5f7df81e86047d813423a,Success,ERC-20,Transfer,22496465,19 days ago,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),0xbf801f7e8626564ec6dd0e5da4fbda58bc332e9c,Team Controlled Distribution Wallet,"3,000,000","$153,720.00",Ultra Token(UOS),0.00019946
0x161cbca6091c31b38119bce022d17c141f7b889d82533001bd8ffe6b78e6f4d2,Success,ERC-20,Transfer,22496460,19 days ago,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),0xbf801f7e8626564ec6dd0e5da4fbda58bc332e9c,Team Controlled Distribution Wallet,"3,000,000","$153,720.00",Ultra Token(UOS),0.00018908
0xbd2811b7cf37a47dd9c91240671b133f579796272993710623cbc18b8ccd8bd3,Success,ERC-20,Transfer,22434313,28 days ago,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),0xbf801f7e8626564ec6dd0e5da4fbda58bc332e9c,Team Controlled Distribution Wallet,"3,000,000","$153,720.00",Ultra Token(UOS),0.00001919
0x42b9c576426da93c49cad7797395f1fd372c2dcd74e7287a9e90ba44ebe1ed1d,Success,ERC-20,Transfer,22434304,28 days ago,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),0xbf801f7e8626564ec6dd0e5da4fbda58bc332e9c,Team Controlled Distribution Wallet,"3,000,000","$153,720.00",Ultra Token(UOS),0.0000183
0xa37249f1207980b3345f5dde5f94dc85b3aa1791677d8116f67ca33fb552509c,Success,ERC-20,Transfer,22419020,30 days ago,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),0xbf801f7e8626564ec6dd0e5da4fbda58bc332e9c,Team Controlled Distribution Wallet,"3,000,000","$153,720.00",Ultra Token(UOS),0.00002055
0xa376131b54da109753dabc528604379dea18fed627c332d17c2d44704ccd7a9e,Success,ERC-20,Transfer,22413165,31 days ago,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),0xbf801f7e8626564ec6dd0e5da4fbda58bc332e9c,Team Controlled Distribution Wallet,"1,100,000","$56,364.00",Ultra Token(UOS),0.00001598
0xc43bc1946e93d53b6bed3955e157068b93020361ebb656bebc3e119153305558,Success,ERC-20,Transfer,22397435,33 days ago,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),0xbf801f7e8626564ec6dd0e5da4fbda58bc332e9c,Team Controlled Distribution Wallet,"1,100,000","$56,364.00",Ultra Token(UOS),0.0000506
0x65c96586b31de74f729aa55724e4fd12cf9d7572beec74a9ae6451d010db7ea5,Success,ERC-20,Transfer,22393886,34 days ago,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),0xbf801f7e8626564ec6dd0e5da4fbda58bc332e9c,Team Controlled Distribution Wallet,"1,100,000","$56,364.00",Ultra Token(UOS),0.00001641
0xfa4354991496ef8f5f49ac6000aac58093dfab43b8388aecaca9c94db88a67b8,Success,ERC-20,Transfer,22381598,36 days ago,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),0xbf801f7e8626564ec6dd0e5da4fbda58bc332e9c,Team Controlled Distribution Wallet,"1,100,000","$56,364.00",Ultra Token(UOS),0.00001951
0x52967bb923e5c283c06fd98945c6ddad5f78cb99889743b3681c1d5b3390eb79,Success,ERC-20,Transfer,22378633,36 days ago,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),0xbf801f7e8626564ec6dd0e5da4fbda58bc332e9c,Team Controlled Distribution Wallet,"1,100,000","$56,364.00",Ultra Token(UOS),0.00001749
