date,contracts_deployed
2021-06-18,9
2021-07-16,3
2021-09-17,1
2021-09-20,1
2021-09-30,3
2021-10-05,5
2021-10-12,2
2021-10-15,2
2021-11-09,8
2022-02-17,1
2022-06-29,1
2022-07-04,1
2022-07-11,3
2022-09-06,1
2022-09-08,1
2022-09-21,1
2022-10-03,1
2022-10-19,1
2022-11-07,1
2022-12-05,1
2023-01-18,1
2023-01-25,1
2023-02-01,2
2023-03-20,1
2023-05-09,1
2023-05-24,1
2023-06-13,1
2023-06-28,1
2023-07-24,1
2023-08-14,1
2023-09-05,1
2023-09-27,1
2023-11-03,1
2023-11-08,2
2023-12-07,1
2023-12-21,1
2024-04-10,1
2024-04-22,4
2024-04-30,1
2024-05-07,1
2024-06-18,1
2024-07-30,1
2024-08-04,1
2024-09-06,3
2024-09-09,1
2024-10-03,1
2024-10-14,1
2024-11-19,1
2024-12-02,1
2024-12-04,2
2024-12-12,1
2024-12-17,3
2024-12-20,1
2025-01-23,2
2025-01-24,1
2025-02-01,1
2025-02-05,2
2025-02-20,1
