date,game,infra,marketplace,test,unknown
2021-05-26,0.0,6.0,0.0,0.0,3.0
2021-05-31,0.0,0.0,0.0,2.0,0.0
2021-06-01,0.0,1.0,0.0,0.0,0.0
2021-06-04,0.0,0.0,0.0,2.0,0.0
2021-06-07,0.0,0.0,0.0,3.0,0.0
2021-06-10,0.0,0.0,0.0,0.0,1.0
2021-06-14,0.0,0.0,0.0,0.0,1.0
2021-06-15,0.0,0.0,0.0,4.0,0.0
2021-06-17,0.0,0.0,0.0,0.0,1.0
2021-07-09,0.0,0.0,0.0,0.0,3.0
2021-08-17,0.0,1.0,0.0,0.0,1.0
2021-09-02,0.0,1.0,0.0,0.0,0.0
2021-09-10,0.0,1.0,0.0,0.0,0.0
2021-09-15,0.0,1.0,0.0,0.0,0.0
2021-09-20,0.0,2.0,0.0,0.0,1.0
2021-09-27,0.0,1.0,0.0,0.0,0.0
2022-04-07,0.0,0.0,0.0,0.0,10.0
2022-04-19,0.0,0.0,0.0,0.0,1.0
2022-04-21,0.0,0.0,0.0,0.0,1.0
2022-04-22,0.0,1.0,0.0,0.0,0.0
2022-04-23,0.0,0.0,0.0,0.0,1.0
2022-05-04,0.0,1.0,0.0,0.0,0.0
2022-05-09,0.0,1.0,0.0,0.0,0.0
2022-06-17,0.0,1.0,0.0,0.0,0.0
2022-06-20,0.0,1.0,0.0,0.0,1.0
2022-06-28,0.0,2.0,0.0,0.0,2.0
2022-09-05,0.0,1.0,0.0,0.0,0.0
2022-09-07,0.0,1.0,0.0,0.0,0.0
2022-09-19,0.0,1.0,0.0,0.0,0.0
2022-09-20,0.0,1.0,0.0,0.0,0.0
2022-09-23,0.0,1.0,0.0,0.0,0.0
2022-10-27,0.0,1.0,0.0,0.0,0.0
2022-11-09,0.0,0.0,0.0,0.0,1.0
2022-12-02,0.0,1.0,0.0,0.0,0.0
2022-12-16,0.0,1.0,0.0,0.0,0.0
2023-01-24,0.0,0.0,0.0,0.0,1.0
2023-03-20,0.0,1.0,0.0,0.0,0.0
2023-04-03,0.0,0.0,0.0,0.0,1.0
2023-04-04,0.0,0.0,0.0,0.0,3.0
2023-04-13,0.0,0.0,0.0,0.0,4.0
2023-04-17,0.0,0.0,0.0,0.0,19.0
2023-05-04,0.0,0.0,0.0,0.0,12.0
2023-05-05,0.0,0.0,0.0,0.0,9.0
2023-05-08,0.0,0.0,0.0,0.0,1.0
2023-05-09,0.0,0.0,0.0,0.0,1.0
2023-05-10,0.0,0.0,0.0,0.0,16.0
2023-05-11,0.0,0.0,0.0,0.0,6.0
2023-05-12,0.0,0.0,0.0,0.0,7.0
2023-05-18,0.0,0.0,0.0,0.0,1.0
2023-05-22,0.0,1.0,0.0,0.0,0.0
2023-05-25,0.0,0.0,2.0,0.0,0.0
2023-05-31,0.0,0.0,0.0,0.0,3.0
2023-06-07,0.0,1.0,0.0,0.0,2.0
2023-06-08,0.0,0.0,0.0,0.0,2.0
2023-06-12,0.0,0.0,13.0,0.0,0.0
2023-06-26,0.0,0.0,0.0,0.0,1.0
2023-06-28,0.0,1.0,0.0,0.0,0.0
2023-07-11,0.0,0.0,0.0,0.0,1.0
2023-07-12,0.0,0.0,0.0,0.0,11.0
2023-07-14,0.0,0.0,0.0,0.0,2.0
2023-07-18,0.0,0.0,3.0,0.0,5.0
2023-07-19,0.0,0.0,2.0,0.0,2.0
2023-07-22,0.0,0.0,0.0,0.0,1.0
2023-07-31,0.0,0.0,0.0,1.0,0.0
2023-08-04,0.0,0.0,7.0,0.0,0.0
2023-08-08,0.0,0.0,2.0,0.0,0.0
2023-08-09,0.0,0.0,5.0,0.0,0.0
2023-08-15,0.0,0.0,0.0,0.0,1.0
2023-08-18,0.0,0.0,3.0,0.0,2.0
2023-08-20,0.0,1.0,0.0,0.0,0.0
2023-08-21,0.0,0.0,0.0,1.0,0.0
2023-08-31,0.0,1.0,0.0,0.0,0.0
2023-09-11,0.0,0.0,0.0,0.0,1.0
2023-10-03,0.0,0.0,0.0,0.0,3.0
2023-10-05,0.0,0.0,0.0,0.0,14.0
2023-10-17,0.0,0.0,0.0,0.0,1.0
2023-10-25,0.0,0.0,0.0,0.0,2.0
2023-10-31,0.0,0.0,0.0,0.0,1.0
2023-11-01,0.0,2.0,0.0,0.0,1.0
2023-11-23,0.0,1.0,0.0,0.0,0.0
2024-03-26,0.0,1.0,0.0,0.0,0.0
2024-04-11,0.0,0.0,0.0,0.0,5.0
2024-04-12,0.0,0.0,0.0,0.0,4.0
2024-04-17,0.0,0.0,0.0,0.0,1.0
2024-04-18,0.0,0.0,0.0,0.0,23.0
2024-04-20,0.0,0.0,0.0,0.0,2.0
2024-04-26,0.0,0.0,0.0,0.0,1.0
2024-05-02,0.0,0.0,0.0,0.0,5.0
2024-05-03,0.0,0.0,0.0,0.0,2.0
2024-05-10,0.0,0.0,0.0,0.0,1.0
2024-05-13,0.0,0.0,0.0,0.0,5.0
2024-05-18,0.0,0.0,0.0,0.0,13.0
2024-05-20,0.0,0.0,0.0,0.0,1.0
2024-05-21,0.0,0.0,0.0,0.0,8.0
2024-05-24,0.0,0.0,0.0,0.0,1.0
2024-06-14,0.0,1.0,0.0,0.0,0.0
2024-06-25,0.0,0.0,0.0,0.0,1.0
2024-07-01,0.0,0.0,0.0,0.0,3.0
2024-07-02,0.0,0.0,0.0,0.0,1.0
2024-07-12,0.0,0.0,0.0,0.0,3.0
2024-07-18,0.0,0.0,0.0,0.0,13.0
2024-07-23,0.0,0.0,0.0,0.0,2.0
2024-07-24,0.0,1.0,0.0,0.0,3.0
2024-07-25,0.0,1.0,0.0,0.0,1.0
2024-07-26,0.0,0.0,0.0,0.0,4.0
2024-07-27,0.0,0.0,0.0,0.0,3.0
2024-07-28,0.0,0.0,0.0,0.0,14.0
2024-08-10,0.0,0.0,0.0,0.0,1.0
2024-08-19,0.0,0.0,0.0,0.0,1.0
2024-08-20,0.0,0.0,0.0,0.0,1.0
2024-08-30,0.0,0.0,0.0,0.0,2.0
2024-08-31,0.0,0.0,0.0,0.0,4.0
2024-09-02,0.0,0.0,0.0,0.0,1.0
2024-09-03,0.0,0.0,0.0,0.0,2.0
2024-09-04,0.0,0.0,0.0,0.0,2.0
2024-09-07,0.0,0.0,0.0,0.0,1.0
2024-09-09,0.0,0.0,0.0,0.0,1.0
2024-09-26,0.0,0.0,0.0,0.0,1.0
2024-09-30,0.0,1.0,0.0,0.0,0.0
2024-10-01,0.0,1.0,0.0,0.0,0.0
2024-10-03,0.0,1.0,0.0,0.0,0.0
2024-10-09,0.0,1.0,0.0,0.0,0.0
2024-10-15,0.0,0.0,0.0,0.0,9.0
2024-10-16,0.0,0.0,0.0,0.0,7.0
2024-10-24,0.0,1.0,0.0,0.0,0.0
2024-10-31,0.0,1.0,0.0,0.0,0.0
2024-11-07,0.0,0.0,0.0,0.0,1.0
2024-11-08,0.0,2.0,0.0,0.0,0.0
2024-11-18,0.0,0.0,0.0,0.0,2.0
2024-11-19,0.0,1.0,0.0,0.0,0.0
2024-11-20,0.0,1.0,0.0,0.0,1.0
2024-11-25,0.0,0.0,0.0,0.0,3.0
2024-11-27,0.0,2.0,0.0,0.0,0.0
2024-11-28,0.0,0.0,0.0,0.0,10.0
2024-12-02,0.0,4.0,0.0,0.0,0.0
2024-12-03,0.0,2.0,0.0,0.0,0.0
2024-12-04,0.0,2.0,0.0,0.0,0.0
2024-12-05,0.0,1.0,0.0,0.0,0.0
2024-12-11,0.0,0.0,0.0,0.0,1.0
2024-12-12,0.0,0.0,0.0,0.0,1.0
2024-12-20,0.0,1.0,0.0,0.0,0.0
2024-12-29,0.0,0.0,0.0,0.0,8.0
2024-12-30,0.0,0.0,0.0,0.0,8.0
2024-12-31,0.0,0.0,0.0,0.0,8.0
2025-01-02,0.0,0.0,0.0,0.0,23.0
2025-01-03,0.0,0.0,0.0,0.0,32.0
2025-01-04,0.0,0.0,0.0,0.0,69.0
2025-01-05,0.0,0.0,0.0,0.0,24.0
2025-01-09,0.0,0.0,0.0,0.0,11.0
2025-01-10,0.0,0.0,0.0,0.0,1.0
2025-01-12,0.0,0.0,0.0,0.0,3.0
2025-01-13,0.0,0.0,0.0,0.0,27.0
2025-01-16,0.0,0.0,0.0,0.0,1.0
2025-01-17,0.0,0.0,0.0,0.0,5.0
2025-01-18,0.0,0.0,0.0,0.0,2.0
2025-01-19,0.0,0.0,0.0,0.0,1.0
2025-01-24,0.0,1.0,0.0,0.0,1.0
2025-01-27,0.0,1.0,0.0,0.0,7.0
2025-02-02,0.0,0.0,0.0,0.0,1.0
2025-02-04,0.0,0.0,0.0,0.0,2.0
2025-02-05,0.0,1.0,0.0,0.0,0.0
2025-02-09,0.0,0.0,0.0,0.0,1.0
2025-02-12,0.0,0.0,0.0,0.0,2.0
2025-02-13,0.0,0.0,0.0,0.0,4.0
2025-02-14,0.0,0.0,0.0,0.0,1.0
2025-02-17,0.0,1.0,0.0,0.0,0.0
2025-02-18,0.0,0.0,0.0,0.0,1.0
2025-02-19,0.0,3.0,0.0,0.0,0.0
2025-02-23,0.0,0.0,0.0,0.0,5.0
2025-02-24,0.0,0.0,0.0,0.0,4.0
2025-02-25,0.0,0.0,0.0,0.0,7.0
2025-02-26,0.0,0.0,0.0,0.0,12.0
